Above/Up/High	Oo
Affirmative	Ee
Again/Another/More	Koh-koh
And	Koh
Ask	Oh-too-mah
Baby	Bay-bee
Bad	Boo-dah
suffering boo-dah
metta wee-tee u-nye noo-loo
Be/To be	Boh
Beautiful/Pretty	Ee-kah
Best	Dee-mak
Best fun/Radical	Dee-doo-ay
Big	Dah
one creator	dah may-may a-loh
No!/Big no	Dah-boo
Big yes	Dah-ee-tah
furbies	furby
Birth/Birthday	Tee-toh
Birthday	Toh-toh
Boring	Koo-dah-way-loh
Bottle	Bah-bah
Change	Boo-tay
Cloud	Ay-loh-may-lah
Come/coming	Bye-bye-oo-bah
Complete	Toh
Cute	Doh-dee
Dance	Noh-lah
free	may-lah noh-lah
Delicious/tastes good	Yumm-wah
Diamond	Ay-koo
Dizzy	Ay-way
Do	Doo-dah
Dog	Bar-bar
Done	Toh-dye
Down	Nah-bah
Dream	Way-loo
Dude	Dee-doh
Face	Kay-tay
Feed/Food	Ah-tah
Finally	Oo-Tah-Toh-Toh
Friend/Buddy	Noo-lah
beings Noo-lah
themselves furby
Full	Oo-loo
Fun	Doo-ay
Funny	Doo-loo
Game	Doo-ay-loo-lah
Game over	Kah boo Koo-doh
Genius	Dah-way
Give	Tah
Go/Bye/Get out	Bye-bye
Good	Ee-day
benefit	Ee-day
Good morning	Dah-ay-loh-oo-tye
Good night	Dah-ay-loh-nah-bah
Happy	Noo-loo
Have	Ah-mah
Health/Healthy	Koo-doh
Help	Ah-noo
Hey	Hey
Hide	Woo-bye
High	Oo-tah
hmm?/huh?/when?/where?/yeah/what	Doo?
Home	Lay-lah
Hug	May-lah
Humor/Play/Joke	Loo
Hungry/Eat	Ay-tay
Interrogative	Doo
Island	Koo-wah
Joke	Loo-loo
Just kidding/Not	Kah-loo-loo
Kiss	May-tah
Life/Nature/Living things	Tee
Light	Ay-loh/A-loh
Lightness	Ay
Like	Toh-loo
Like/Similar to/comparative	Tay
Listen	Ay-ay-lee-koo
Little/Smallnesss	Dee
Live	Boh-dah
Log	Tee-loh
Look	Ay-ay
Love	May-may
Love it	Dah-may-may
Maybe	May-bee
Me/Mine/Myself/I	Kah
Money	Moo-lah
Monster	Moh-moh
Mountain	Koo-dah
Move	Noh-bah
Music	Ee-kah-lee-koo
Negative/No/Stop	Boo
No Way/Big No	Dah-boo
Noise	Bah-boo
Now	Nee-way
Oh	Oh
Oh my gosh/OMG	Oh-kah-tee
Ok	Oh-kay
Over	Oo-bah
Party/party time	Dah-no-lah
Path	Bye-way
Pet	Ah-may
Play	Loo-lay
Please	Doo-moh
Pull	Ah-loo
Rain	Wah-wee-tee
Receive	Tah-tah
Really?/Seriously	Loo-loo-doo?
Rock	Koo
Sad	Boo-noo-loo
suffering boo-noo-loo
Scared	Dah-boh-bah
Sea	Ee-wah
Shake	Koo-bah
Sing	Wee-tee
Sleep	Way-loh
So	Doh
Song	Wah-tee
Sound	Lee-koo
Stand	Oo-boh
Story	Wee-loo
Sun	Dah-ay-loh
Sweet	Nee-may
Tail	Dee-tee-tah
Talk	Noo-Noo
Tell	Wee-tah
Thank	Dah-kah
Thank you	Dah-kah-oo-nye
right	Boh-ee-tay
Thinking/Mind	Way
Tickle	Nee-tye
Time	Toh-toh
Touching/holding	Ah
Touch	Tay-boo-koo
Tree	Tee-tah
Twinkle	Tee-wee-lah
Uh-huh	Uh-huh
Uh-oh	Uh-oh
Uh-uh	Uh-uh
Uncle	Oo-kah
Very	Mee-mee
Wassup?	Doo-oo-tye?
Water/Rain	Wah
Water	Wah-tah
Where are you?	Oo-nye doo?
Whoa	Whoa
Wise/Wisely	Way-lah
wisdom way-lah
Wonder	Way-nah
Worried	Boh-bay
Yay	Yay
Yea	Wah
yeah    wah
Yes	Ee-tay
Yippee	Yippee
You	Oo-nye
